simulation,sample_size,total_return,max_drawdown,sharpe_ratio,total_trades,win_rate,profit_factor,expectancy,net_profit,largest_win,largest_loss,avg_trade_duration
314,7000,-0.001072373011088348,-0.0012396852104867681,-0.6380009385673701,383,0.3838120104438642,0.6333607575397213,-0.0280268414460726,-10.734280273845805,0.3774489215377366,-0.6256573462368522,13.174934725833332
315,7000,-0.0010442881096205383,-0.0011738518017870609,-0.6078467724837556,370,0.3864864864864865,0.6156775001219604,-0.028252786147758537,-10.453530874670662,0.463617765315889,-0.65843762874597,14.424324324166665
316,7000,-0.0010212726367308277,-0.0011716284011382401,-0.5606985627208527,378,0.38095238095238093,0.6433787538620784,-0.02704557847224171,-10.223228662507363,0.37889586535337183,-1.298038016900273,14.16402116388889
317,7000,-0.0010615066778402252,-0.0012446450045746434,-0.608767483243571,375,0.36533333333333334,0.619286533611623,-0.02833575868068091,-10.625909505255343,1.0286408822020725,-0.48693013128356183,14.074666666666667
318,7000,-0.001061466564143484,-0.0011559837484766923,-0.5922327405931769,385,0.38181818181818183,0.6372317285222908,-0.027597832444990693,-10.625165491321422,0.724960145931209,-0.7815977783021132,13.729870129722222
319,7000,-0.0011003973855253208,-0.0011648832045964323,-0.5940293364203848,370,0.3621621621621622,0.6098143737111852,-0.029769220709098362,-11.014611662366399,0.533380259436429,-1.2007874309174162,14.362162161944443
320,7000,-0.0009873569450328432,-0.0010959714084340158,-0.550399860031494,360,0.3611111111111111,0.6443038070486236,-0.027455647198925147,-9.884032991613054,0.9661692057755801,-0.452354134347104,15.244444444444444
321,7000,-0.0009354327451766949,-0.001103725985021941,-0.47261892260654653,384,0.4114583333333333,0.6738123446958518,-0.024387774405261513,-9.364905371620416,0.5492110012162852,-1.363812218492422,13.825520833333334
322,7000,-0.0012254294101114282,-0.0013459596432898204,-0.7134656626941607,406,0.3645320197044335,0.6055061553393003,-0.0302103354353169,-12.265396186738656,0.5820678854316258,-0.40268851197790406,13.298029556388888
323,7000,-0.0008968848669677755,-0.001080708065838553,-0.48126109833106623,370,0.3891891891891892,0.6849830066736187,-0.02426990843407633,-8.979866120608246,0.6895004722432599,-0.7826893774794981,16.178378378333335
324,7000,-0.0011676264972049467,-0.0013102917273468846,-0.6224878779066365,369,0.37669376693766937,0.6031218182735754,-0.031672680115000656,-11.687218962435235,0.6222415763112383,-0.9905414572511215,15.086720866944443
325,7000,-0.0006422715952117869,-0.0008301963246454783,-0.36297883500724176,375,0.39466666666666667,0.7523184641971458,-0.0171567563672545,-6.433783637720442,1.0347399226640108,-0.5756599431163779,13.922666666666666
